WKT,nome,descrição,Tipo,cor,longitude,latitude
POINT (-38.4416343 -12.914949),INTER SOCCER Academia de futebol - Unidade Pau da Lima,,Campo de futebol,#FF5733,-38.4416343,-12.914949
POINT (-38.4742498 -12.9702464),Champion Multi Arena,,Campo de futebol,#FF5733,-38.4742498,-12.9702464
POINT (-38.39398320000001 -12.9412065),Arena Golaço,,Campo de futebol,#FF5733,-38.39398320000001,-12.9412065
POINT (-38.3568063 -12.8708852),Campo Chuteira Cansada,,Campo de futebol,#FF5733,-38.3568063,-12.8708852
POINT (-38.4208117 -12.9765565),Campos de Futebol - Boca do Rio,,Campo de futebol,#FF5733,-38.4208117,-12.9765565
POINT (-38.3651082 -12.9342279),Arena Km 17 - Campo de Futebol,,Campo de futebol,#FF5733,-38.3651082,-12.9342279
POINT (-38.306588 -12.8773888),Arenas Evo Unidade Villas,,Campo de futebol,#FF5733,-38.306588,-12.8773888
POINT (-38.4717979 -12.9757947),Point da Bola,,Campo de futebol,#FF5733,-38.4717979,-12.9757947
POINT (-38.4077351 -12.9276314),Campo De Futebol,,Campo de futebol,#FF5733,-38.4077351,-12.9276314
POINT (-38.4135059 -12.971881),Arena Guanabara,,Campo de futebol,#FF5733,-38.4135059,-12.971881
POINT (-38.4713768 -12.9773555),Ponto 1,,Centro comunitário,#33FF57,-38.4713768,-12.9773555
POINT (-38.36029049999999 -12.9341526),Centro Comunitário Ágape,,Centro comunitário,#33FF57,-38.36029049999999,-12.9341526
POINT (-38.4525988 -12.8509252),Centro Comunitário Fazenda Coutos,,Centro comunitário,#33FF57,-38.4525988,-12.8509252
POINT (-38.4671866 -12.8608192),Centro Comunitário Arnaldo Anselmo,,Centro comunitário,#33FF57,-38.4671866,-12.8608192
POINT (-38.5026349 -12.9966087),Centro Comunal do Parque São Bráz,,Centro comunitário,#33FF57,-38.5026349,-12.9966087
POINT (-38.460348 -13.0018527),Centro Comunitário da Pituba Padre Casimiro Quiroga,,Centro comunitário,#33FF57,-38.460348,-13.0018527
POINT (-38.4977671 -12.9962275),CSU - Centro Social Urbano da Federação,,Centro comunitário,#33FF57,-38.4977671,-12.9962275
POINT (-38.4627099 -12.8412198),CENTRO COMUNITÁRIO DO BATE CORAÇÃO,,Centro comunitário,#33FF57,-38.4627099,-12.8412198
POINT (-38.4399135 -12.9593199),Centro Social Urbano de Narandiba,,Centro comunitário,#33FF57,-38.4399135,-12.9593199
POINT (-38.3596476 -12.9513504),Centro Social Paroquial Mons. Mario Rebuffoni,,Centro comunitário,#33FF57,-38.3596476,-12.9513504
POINT (-38.3525688 -12.8906265),Centro Comunitário,,Centro comunitário,#33FF57,-38.3525688,-12.8906265
POINT (-38.5237084 -12.9997346),Igreja Nossa Senhora da Graça,,Centro religioso,#3357FF,-38.5237084,-12.9997346
POINT (-38.5197949 -12.9840986),Igreja Senhor Bom Jesus do Aflitos,,Centro religioso,#3357FF,-38.5197949,-12.9840986
POINT (-38.4809331 -13.0054907),Igreja Matriz Cristo Redentor,,Centro religioso,#3357FF,-38.4809331,-13.0054907
POINT (-38.5321295 -13.0013105),Igreja Santo Antônio da Barra,,Centro religioso,#3357FF,-38.5321295,-13.0013105
POINT (-38.4739799 -13.0071833),Igreja Matriz Paróquia Santo André,,Centro religioso,#3357FF,-38.4739799,-13.0071833
POINT (-38.5155526 -12.9832497),Paróquia de São Pedro,,Centro religioso,#3357FF,-38.5155526,-12.9832497
POINT (-38.4601959 -12.993904),Igreja Batista Regular da Pituba,,Centro religioso,#3357FF,-38.4601959,-12.993904
POINT (-38.3329467 -12.8887101),Igreja Primícias Das Nações,,Centro religioso,#3357FF,-38.3329467,-12.8887101
POINT (-38.4573309 -12.9909218),Igreja Nossa Senhora da Assunção,,Centro religioso,#3357FF,-38.4573309,-12.9909218
POINT (-38.4660994 -13.0107456),Igreja Batista Lírio dos Vales,,Centro religioso,#3357FF,-38.4660994,-13.0107456
POINT (-38.5171269 -12.9817726),CEAD Centro Espírita Alma D'Ângelis.,,Centro religioso,#3357FF,-38.5171269,-12.9817726
POINT (-38.5014375 -12.9615104),Centro Espírita Luz e Caridade,,Centro religioso,#3357FF,-38.5014375,-12.9615104
POINT (-38.3607089 -12.9493107),Centro Espírita Estrela Guia de Itapuã,,Centro religioso,#3357FF,-38.3607089,-12.9493107
POINT (-38.44635 -12.9330984),Casa do Caminho - Pronto Atendimento Espírita,,Centro religioso,#3357FF,-38.44635,-12.9330984
POINT (-38.5123518 -12.9272236),Centro de Caridade Caboclo Capangueiro-CCCC,,Centro religioso,#3357FF,-38.5123518,-12.9272236
POINT (-38.4701169 -13.0120999),Centro Espírita Seareiros da Luz,,Centro religioso,#3357FF,-38.4701169,-13.0120999
POINT (-38.4915573 -12.9695052),Centro Espírita Deus Luz e Verdade,,Centro religioso,#3357FF,-38.4915573,-12.9695052
POINT (-38.3031063 -12.8691047),Centro Espírita Amor e Sabedoria,,Centro religioso,#3357FF,-38.3031063,-12.8691047
